Dz,Kh,Kv,res,wilt,fc,sat,a,n,SS
50,2.61509051964267e-06,0.000640949188253725,0.0115615391259616,0.0140749974413939,0.123113557913364,0.792741059479884,0.00105907802261011,2.12960913199496,8.62844961385366e-10
50,2.61509051964267e-06,0.000640949188253725,0.0115615391259616,0.0140749974413939,0.123113557913364,0.792741059479884,0.00105907802261011,2.12960913199496,8.62844961385366e-10
50,2.61509051964267e-06,0.000640949188253725,0.0115615391259616,0.0140749974413939,0.123113557913364,0.792741059479884,0.00105907802261011,2.12960913199496,8.62844961385366e-10
50,9.19585618858144e-06,1.97895147215050e-10,0.0278839570558673,0.0775049588530614,0.740313416902007,0.487680751231432,0.00918579297700807,2.33809784891584,7.07261471765815e-09
100,9.19585618858144e-06,1.97895147215050e-10,0.0278839570558673,0.0775049588530614,0.740313416902007,0.487680751231432,0.00918579297700807,2.33809784891584,7.07261471765815e-09
100,9.19585618858144e-06,1.97895147215050e-10,0.0278839570558673,0.0775049588530614,0.740313416902007,0.487680751231432,0.00918579297700807,2.33809784891584,7.07261471765815e-09
150,8.42747808913748e-06,0.000526581616962758,0.0218621565038442,0.0887548335198244,0.125326539586047,0.638917503773725,0.00998637365830429,2.25669060226707,1.46855840432480e-10
150,8.42747808913748e-06,0.000526581616962758,0.0218621565038442,0.0887548335198244,0.125326539586047,0.638917503773725,0.00998637365830429,2.25669060226707,1.46855840432480e-10
200,8.42747808913748e-06,0.000526581616962758,0.0218621565038442,0.0887548335198244,0.125326539586047,0.638917503773725,0.00998637365830429,2.25669060226707,1.46855840432480e-10
200,5.60008974398810e-06,0.00854513871819060,0.0135697557350165,0.0986624940667642,0.288736335587026,0.768009191992033,0.00484440009222299,2.13771377906853,8.41217209210201e-09
300,5.60008974398810e-06,0.00854513871819060,0.0135697557350165,0.0986624940667642,0.288736335587026,0.768009191992033,0.00484440009222299,2.13771377906853,8.41217209210201e-09
300,5.60008974398810e-06,0.00854513871819060,0.0135697557350165,0.0986624940667642,0.288736335587026,0.768009191992033,0.00484440009222299,2.13771377906853,8.41217209210201e-09
400,9.09483986831976e-06,0.000334808733433171,0.0987036001382647,0.0446940729404804,0.655141756799378,0.620254586422483,0.00974228310406619,2.14590913531146,1.00000000000000e-10
400,9.09483986831976e-06,0.000334808733433171,0.0987036001382647,0.0446940729404804,0.655141756799378,0.620254586422483,0.00974228310406619,2.14590913531146,1.00000000000000e-10
500,9.09483986831976e-06,0.000334808733433171,0.0987036001382647,0.0446940729404804,0.655141756799378,0.620254586422483,0.00974228310406619,2.14590913531146,1.00000000000000e-10
500,5.45575795390731e-06,0.000688888543690163,0.04354210261495,0.093917800736919,0.715490171914362,0.222587646901774,0.00710878866365661,2.33529960857588,1.89700435352561e-10
1000,5.45575795390731e-06,0.000688888543690163,0.04354210261495,0.093917800736919,0.715490171914362,0.222587646901774,0.00710878866365661,2.33529960857588,1.89700435352561e-10
1000,5.45575795390731e-06,0.000688888543690163,0.04354210261495,0.093917800736919,0.715490171914362,0.222587646901774,0.00710878866365661,2.33529960857588,1.89700435352561e-10
1000,6.14352703060338e-06,0.00128005727707522,0.0118692266033368,0.0418087183813964,0.372117142284021,0.164870367585693,0.00455663009409054,1.87838098771852,1.28454200900018e-09
1000,6.14352703060338e-06,0.00128005727707522,0.0118692266033368,0.0418087183813964,0.372117142284021,0.164870367585693,0.00455663009409054,1.87838098771852,1.28454200900018e-09
2000,6.14352703060338e-06,0.00128005727707522,0.0118692266033368,0.0418087183813964,0.372117142284021,0.164870367585693,0.00455663009409054,1.87838098771852,1.28454200900018e-09
2000,1.24207842916926e-06,0.01,0.0388230292831794,0.0377445597758932,0.761125636502896,0.160029091473517,0.00688335827250971,1.31282149993689,4.22536239367101e-09
2000,1.24207842916926e-06,0.01,0.0388230292831794,0.0377445597758932,0.761125636502896,0.160029091473517,0.00688335827250971,1.31282149993689,4.22536239367101e-09
2000,1.24207842916926e-06,0.01,0.0388230292831794,0.0377445597758932,0.761125636502896,0.160029091473517,0.00688335827250971,1.31282149993689,4.22536239367101e-09
4000,8.42207192630966e-06,0.00359595227418718,0.0732273535552681,0.0554809153245325,0.799340493024711,0.5991209300738,0.00871036074818624,1.33241947863819,9.37104797938567e-09
4000,8.42207192630966e-06,0.00359595227418718,0.0732273535552681,0.0554809153245325,0.799340493024711,0.5991209300738,0.00871036074818624,1.33241947863819,9.37104797938567e-09
7000,8.42207192630966e-06,0.00359595227418718,0.0732273535552681,0.0554809153245325,0.799340493024711,0.5991209300738,0.00871036074818624,1.33241947863819,9.37104797938567e-09
7000,8.79334630715412e-06,0.00434233666433379,0.0559439302799293,0.0982275911300806,0.201551378310636,0.383919645629988,1.81096101068655e-05,1.54945216717894,9.12917899647223e-09
14000,8.79334630715412e-06,0.00434233666433379,0.0559439302799293,0.0982275911300806,0.201551378310636,0.383919645629988,1.81096101068655e-05,1.54945216717894,9.12917899647223e-09
14000,8.79334630715412e-06,0.00434233666433379,0.0559439302799293,0.0982275911300806,0.201551378310636,0.383919645629988,1.81096101068655e-05,1.54945216717894,9.12917899647223e-09

