Date,AirTemp,Tdew,Tground,RH,AP,u,Rad,Rad_MJm2d,Sunshine,PET,Precipitation,Discharge
14/06/201410:00,2.72,-2.45,4.44,68.93,1006.3,7.93,574.04,49.597056,1,0.161075175,0,131
14/06/201411:00,3.23,-2.56,4.76,65.58,1006.13,4.13,452.22,39.071808,0.9,0.161075175,0,138.6666667
14/06/201412:00,3.42,-2.55,5.2,65,1005.66,5.15,441.68,38.161152,0.9,0.161075175,0,145.3333333
14/06/201413:00,3.21,-1.97,5.55,68.86,1005.08,6.75,453.41,39.174624,0.8,0.161075175,0,145
14/06/201414:00,2.98,-2.19,5.58,68.71,1005.08,3.15,282.19,24.381216,0.7,0.161075175,0,141.1666667
14/06/201415:00,2.49,-3.66,5.52,63.7,1005.01,7.63,325.55,28.12752,0.6,0.161075175,0,144
14/06/201416:00,1.79,-4.69,5.36,61.96,1004.78,6.7,290.41,25.091424,1,0.161075175,0,148.1666667
14/06/201417:00,1.55,-5.08,5.16,61.39,1004.75,9.63,286.54,24.757056,0.9,0.161075175,0,134
14/06/201418:00,1.24,-5.78,4.92,59.51,1004.57,8.13,268.83,23.226912,0.6,0.161075175,0,131.8333333
14/06/201419:00,0.63,-5.67,4.66,62.74,1004.53,6.18,171.85,14.84784,0,0.161075175,0,129.8333333
14/06/201420:00,0.51,-5.84,4.37,62.43,1005.12,5.65,153.71,13.280544,0.1,0.161075175,0,113.6666667
14/06/201421:00,0.49,-5.17,4.08,65.79,1005.49,8.48,135.26,11.686464,0.2,0.161075175,0,129.6666667
14/06/201422:00,0.53,-4.63,3.78,68.22,1005.57,4.7,132.99,11.490336,NaN,0.161075175,0,120.3333333
14/06/201423:00,0.67,-4.6,3.52,67.88,1005.35,4.93,107.17,9.259488,NaN,0.161075175,0,115.8333333
15/06/201400:00,0.39,-4.28,3.26,70.83,1005.05,3.83,71.63,6.188832,NaN,0.152485469,0,111.6666667
15/06/201401:00,0.28,-5.12,2.97,66.9,1005.11,4.38,97.96,8.463744,0.3,0.152485469,0,104
15/06/201402:00,0.7,-5.92,2.73,61.09,1004.96,5.13,194.55,16.80912,0.8,0.152485469,0,99
15/06/201403:00,0.63,-6.75,2.67,57.79,1004.77,4.33,124.08,10.720512,0.9,0.152485469,0,101.6666667
15/06/201404:00,0.96,-7.72,2.55,52.33,1004.75,1.9,200.89,17.356896,0.9,0.152485469,0,86.5
15/06/201405:00,1.39,-7.26,2.53,52.61,1005.15,2.2,431.07,37.244448,1,0.152485469,0,92.5
15/06/201406:00,1.34,-6.63,2.87,55.34,1005.39,3.65,351.96,30.409344,0.8,0.152485469,0,87.5
15/06/201407:00,0.84,-9.09,3.22,47.44,1005.52,6.13,439.91,38.008224,1,0.152485469,0,93.16666667
15/06/201408:00,0.78,-10.38,3.45,43.09,1006.35,2.73,501.97,43.370208,1,0.152485469,0,90
15/06/201409:00,0.8,-10.31,3.75,43.27,1006.9,5.83,596.25,51.516,1,0.152485469,0,91.33333333
15/06/201410:00,0.98,-9.96,4.11,43.75,1007.49,3.25,647.65,55.95696,1,0.152485469,0,93.83333333
15/06/201411:00,1.01,-9.78,4.55,44.56,1007.97,4.38,417.59,36.079776,1,0.152485469,0,88.66666667
15/06/201412:00,1.19,-9.49,4.98,44.97,1008.4,3.73,632.33,54.633312,1,0.152485469,0,78
15/06/201413:00,1.35,-8.89,5.35,46.45,1008.9,4.1,592.37,51.180768,1,0.152485469,0,96.83333333
15/06/201414:00,1.16,-8.34,5.6,49.19,1009.48,4.28,463.16,40.017024,1,0.152485469,0,103.3333333
15/06/201415:00,1.24,-8.87,5.73,46.7,1009.93,4.58,522.91,45.179424,1,0.152485469,0,101.5
15/06/201416:00,1.31,-9.47,5.81,44.31,1010.65,2.5,453.76,39.204864,1,0.152485469,0,103
15/06/201417:00,1.32,-9.7,5.87,43.53,1011,2.3,380.85,32.90544,1,0.152485469,0,106
15/06/201418:00,1.49,-9.67,5.88,43.17,1011.16,1.75,318.85,27.54864,1,0.152485469,0,105.5
15/06/201419:00,1.63,-8.5,5.82,46.96,1011.4,2.7,263.15,22.73616,1,0.152485469,0,104.8333333
15/06/201420:00,1.84,-7.64,5.67,49.41,1011.59,2.75,219.16,18.935424,1,0.152485469,0,97.83333333
15/06/201421:00,1.91,-7.35,5.42,50.18,1012.23,2.53,163.26,14.105664,1,0.152485469,0,91.5
15/06/201422:00,1.62,-6.72,5.08,53.83,1012.65,3.3,66.9,5.78016,0.1,0.152485469,0,91.16666667
15/06/201423:00,1.79,-6.66,4.63,53.53,1013.13,1.6,59.41,5.133024,NaN,0.152485469,0,95.16666667
16/06/201400:00,1.84,-6.14,4.18,55.59,1013.58,2.1,88.42,7.639488,NaN,0.129973762,0,90
16/06/201401:00,2.19,-5.84,3.88,55.4,1013.87,4.68,68.52,5.920128,0.2,0.129973762,0,85.5
16/06/201402:00,2.65,-5.78,3.66,53.67,1014.18,1.55,133.38,11.524032,0.7,0.129973762,0,85
16/06/201403:00,2.69,-5.53,3.56,54.56,1014.68,1.15,102.64,8.868096,0.2,0.129973762,0,74
16/06/201404:00,2.96,-5.05,3.54,55.83,1014.86,2,160.18,13.839552,0.4,0.129973762,0,70.83333333
16/06/201405:00,2.83,-3.91,3.6,61.7,1015.07,2.38,183.03,15.813792,0.3,0.129973762,0,70.16666667
16/06/201406:00,3.09,-2.77,3.7,65.38,1015.09,1.75,386.3,33.37632,1,0.129973762,0,69
16/06/201407:00,3.99,-3.51,3.99,58.22,1015.03,1.52,475.1,41.04864,1,0.129973762,0,71
16/06/201408:00,4.43,-3.43,4.52,56.75,1015.05,1.35,555.41,47.987424,1,0.129973762,0,79.83333333
16/06/201409:00,4.45,-3.75,5.17,55.32,1014.94,1.58,633.32,54.718848,1,0.129973762,0,84.66666667
16/06/201410:00,4.07,-4.71,5.95,52.66,1014.83,1.9,597.43,51.617952,1,0.129973762,0,96.16666667
16/06/201411:00,3.5,-3.81,6.64,59.36,1014.58,3.73,449.7,38.85408,1,0.129973762,0,91.66666667
16/06/201412:00,3.5,-3.33,7.13,61.03,1014.3,2.75,635.84,54.936576,1,0.129973762,0,113.8333333
16/06/201413:00,3.93,-2.53,7.52,62.86,1014.05,3.95,595.61,51.460704,1,0.129973762,0,124.6666667
16/06/201414:00,4.01,-0.2,7.83,73.91,1013.6,5.28,534.5,46.1808,0.9,0.129973762,0,133.3333333
16/06/201415:00,3.84,-0.25,7.93,74.61,1013.21,5.18,333.91,28.849824,0.4,0.129973762,0,151.8333333
16/06/201416:00,3.57,-0.46,7.75,74.87,1012.56,5.88,200.15,17.29296,NaN,0.129973762,0,165.1666667
16/06/201417:00,3.35,-0.36,7.37,76.53,1012.1,5.2,128.42,11.095488,NaN,0.129973762,0,166.6666667
16/06/201418:00,3.41,-0.37,6.93,76.27,1011.48,5.03,103.32,8.926848,NaN,0.129973762,0,160.8333333
16/06/201419:00,3.4,-0.47,6.51,75.76,1010.81,5.08,85.84,7.416576,NaN,0.129973762,0.016666667,165.8333333
16/06/201420:00,3.3,-0.51,6.14,75.98,1010.19,5.55,56.57,4.887648,NaN,0.129973762,0.016666667,156
16/06/201421:00,3.17,-0.73,5.78,75.53,1009.36,5.1,47.55,4.10832,NaN,0.129973762,0.016666667,155
16/06/201422:00,3.09,-0.72,5.45,76.01,1008.29,6.38,47.49,4.103136,NaN,0.129973762,0.016666667,163.3333333
16/06/201423:00,2.92,-0.69,5.15,77.12,1007.67,5.88,44.38,3.834432,NaN,0.129973762,0.016666667,132.1666667
17/06/201400:00,2.37,-0.09,4.88,83.86,1006.97,6.15,38.87,3.358368,NaN,0.087012924,0.016666667,127.5
17/06/201401:00,2.04,0.2,4.57,87.56,1006.47,0.5,18.39,1.588896,NaN,0.087012924,0.233333333,129.1666667
17/06/201402:00,1.87,0.1,4.28,88.04,1005.78,2.67,19.41,1.677024,NaN,0.087012924,0.233333333,117.1666667
17/06/201403:00,1.84,0.13,4.03,88.42,1005.18,4.65,25.17,2.174688,NaN,0.087012924,0.233333333,113.1666667
17/06/201404:00,1.9,0.06,3.79,87.58,1004.74,7.15,40.8,3.52512,NaN,0.087012924,0.233333333,103.1666667
17/06/201405:00,1.49,0.14,3.59,90.73,1004.35,8.35,65.3,5.64192,NaN,0.087012924,0.233333333,97
17/06/201406:00,0.82,0.1,3.4,94.93,1004.55,7.75,70.45,6.08688,NaN,0.087012924,0.233333333,84.33333333
17/06/201407:00,0.96,0.11,3.18,94.11,1004.23,9.38,163.98,14.167872,NaN,0.087012924,0,72.5
17/06/201408:00,1.4,-0.1,3.12,89.63,1004.22,8.38,180.79,15.620256,NaN,0.087012924,0,70.66666667
17/06/201409:00,1.69,-0.57,3.17,84.9,1004.5,8.25,264.39,22.843296,NaN,0.087012924,0,62.16666667
17/06/201410:00,2.33,-0.87,3.34,79.41,1004.99,6.9,505.5,43.6752,0.6,0.087012924,0,87.83333333
17/06/201411:00,2.8,-1.11,3.77,75.49,1005.42,6.7,485.95,41.98608,0,0.087012924,0,92.66666667
17/06/201412:00,2.99,-1.24,4.3,73.89,1005.85,5.63,422.55,36.50832,0.1,0.087012924,0,110.8333333
17/06/201413:00,3.22,-1.1,4.69,73.54,1006.37,5.88,408.8,35.32032,NaN,0.087012924,0,115.8333333
17/06/201414:00,2.73,-0.45,5.01,79.45,1007.08,5.58,316.33,27.330912,NaN,0.087012924,0,114.1666667
17/06/201415:00,2.75,-0.42,5.21,79.61,1007.7,6.43,338.01,29.204064,NaN,0.087012924,0,105.6666667
17/06/201416:00,2.55,-0.38,5.31,80.82,1007.97,7.18,282.77,24.431328,NaN,0.087012924,0,107.1666667
17/06/201417:00,2.35,-0.66,5.31,80.46,1008.24,5.78,215.45,18.61488,NaN,0.087012924,0,108.3333333
17/06/201418:00,2.2,-0.54,5.2,81.87,1008.43,4.3,153.25,13.2408,NaN,0.087012924,0,110.1666667
17/06/201419:00,2.2,-0.81,5.05,80.36,1008.53,3.23,133.46,11.530944,NaN,0.087012924,0.016666667,115.1666667
17/06/201420:00,2.15,-0.7,4.9,81.27,1008.56,4.05,103.71,8.960544,NaN,0.087012924,0.016666667,102.6666667
17/06/201421:00,1.89,-0.55,4.74,83.85,1008.58,3.8,98.87,8.542368,NaN,0.087012924,0.016666667,96.33333333
17/06/201422:00,1.45,-0.62,4.57,86.06,1008.77,2.48,66.9,5.78016,NaN,0.087012924,0.016666667,93.5
17/06/201423:00,1.31,-0.7,4.34,86.41,1008.88,2.03,44.68,3.860352,NaN,0.087012924,0.016666667,88.33333333
18/06/201400:00,1.26,-0.48,4.08,88.21,1008.85,3.7,48.84,4.219776,NaN,0.115998756,0.016666667,81.5
18/06/201401:00,1.24,-0.51,3.84,88.14,1008.83,4.83,56.16,4.852224,NaN,0.115998756,0,74
18/06/201402:00,1.2,-0.35,3.64,89.48,1008.77,5.45,51.93,4.486752,NaN,0.115998756,0,82.66666667
18/06/201403:00,1.08,-0.58,3.44,88.64,1008.83,5.15,86.35,7.46064,NaN,0.115998756,0,83.66666667
18/06/201404:00,1.5,-0.97,3.31,83.67,1008.68,5.47,115.94,10.017216,NaN,0.115998756,0,72.5
18/06/201405:00,1.59,-1.13,3.25,81.99,1008.63,7.78,128.33,11.087712,NaN,0.115998756,0,71
18/06/201406:00,1.84,-1.37,3.23,79.25,1008.68,6.68,163.99,14.168736,NaN,0.115998756,0,59.5
18/06/201407:00,2.1,-2.71,3.25,70.45,1009.03,4.55,170.42,14.724288,NaN,0.115998756,0,48.66666667
18/06/201408:00,2.28,-2.81,3.33,69.22,1009.22,5.43,196.68,16.993152,NaN,0.115998756,0,36.5
18/06/201409:00,2.05,-3.21,3.44,67.96,1009.49,6.2,228.22,19.718208,NaN,0.115998756,0,49.33333333
18/06/201410:00,1.85,-3.31,3.55,68.68,1009.89,7.85,275.75,23.8248,NaN,0.115998756,0,46.16666667
18/06/201411:00,1.73,-3.39,3.7,68.88,1010.07,6.4,369.37,31.913568,0.4,0.115998756,0,46.33333333
18/06/201412:00,2.22,-3.46,3.95,66.04,1010.32,6.75,630.42,54.468288,1,0.115998756,0,68.83333333
18/06/201413:00,1.59,-4.47,4.57,63.8,1011.09,3.65,288.41,24.918624,0.6,0.115998756,0,78.5
18/06/201414:00,1.64,-3.8,4.72,67.27,1011.22,6.38,376.23,32.506272,0.3,0.115998756,0,72.16666667
18/06/201415:00,1.19,-2.44,4.88,76.66,1011.28,7.63,369.18,31.897152,0.3,0.115998756,0,71.33333333
18/06/201416:00,1.37,-3.39,4.92,70.73,1011.39,5.2,343.91,29.713824,0.8,0.115998756,0,73.16666667
18/06/201417:00,1.01,-6.73,4.92,56.2,1011.75,4.97,145.73,12.591072,NaN,0.115998756,0,74.33333333
18/06/201418:00,0.66,-6.37,4.74,59.44,1011.94,4.8,141.37,12.214368,NaN,0.115998756,0,71.66666667
18/06/201419:00,-0.06,-5.07,4.5,69.07,1012.15,4.1,91.65,7.91856,NaN,0.115998756,0,73.83333333
18/06/201420:00,-0.11,-4.34,4.19,73.15,1012.39,3.35,109.26,9.440064,NaN,0.115998756,0,68.83333333
18/06/201421:00,0.28,-4.19,3.95,71.93,1012.48,2.42,96.9,8.37216,NaN,0.115998756,0,78.5
18/06/201422:00,0.57,-6,3.78,61.53,1012.74,1.63,106.42,9.194688,NaN,0.115998756,0,74.5
18/06/201423:00,0.67,-7.23,3.63,55.35,1012.78,1.18,89.77,7.756128,NaN,0.115998756,0,63.5
19/06/201400:00,0.64,-7.71,3.44,53.68,1012.84,1.65,85.44,7.382016,NaN,0.071717481,0,54.83333333
19/06/201401:00,0.53,-7.41,3.22,55.37,1012.71,1.55,83.04,7.174656,NaN,0.071717481,0,49.66666667
19/06/201402:00,0.52,-6.34,3.02,59.95,1012.61,2.45,93.95,8.11728,NaN,0.071717481,0,54.33333333
19/06/201403:00,0.79,-5.67,2.9,61.98,1012.68,1.15,81.72,7.060608,NaN,0.071717481,0,59
19/06/201404:00,0.77,-5.11,2.83,64.97,1012.81,2.28,113.05,9.76752,NaN,0.071717481,0,55.33333333
19/06/201405:00,0.21,-3.88,2.83,74,1012.62,0.78,106.12,9.168768,NaN,0.071717481,0,51.5
19/06/201406:00,0.98,-4.03,2.85,69.28,1012.62,1.93,150.69,13.019616,NaN,0.071717481,0,50
19/06/201407:00,0.95,-3.74,2.95,70.79,1012.78,1.63,189.26,16.352064,NaN,0.071717481,0,41.83333333
19/06/201408:00,0.86,-3.38,3.15,73.36,1012.86,2.8,252.67,21.830688,NaN,0.071717481,0,41.66666667
19/06/201409:00,0.56,-2.64,3.39,79.26,1012.99,2.88,278.83,24.090912,NaN,0.071717481,0,45.16666667
19/06/201410:00,0.86,-2.16,3.64,80.11,1013.16,2.17,386.17,33.365088,0.5,0.071717481,0,52.5
19/06/201411:00,1.25,-2.31,4.02,77.21,1013.37,2.42,446.1,38.54304,1,0.071717481,0,59.83333333
19/06/201412:00,1.45,-2.13,4.67,76.92,1013.58,2.73,564.77,48.796128,1,0.071717481,0,51.16666667
19/06/201413:00,1.56,-2.41,5.33,74.78,1013.78,2.92,473.01,40.868064,0.5,0.071717481,0,69
19/06/201414:00,1.9,-2.26,5.78,73.9,1014.1,2.63,473.29,40.892256,1,0.071717481,0,78.33333333
19/06/201415:00,1.89,-1.97,6.14,75.5,1014.27,3.13,313.37,27.075168,0.3,0.071717481,0,70.5
19/06/201416:00,2.02,-1.77,6.25,75.97,1014.52,1.93,248.18,21.442752,NaN,0.071717481,0,70.83333333
19/06/201417:00,2.1,-1.8,6.19,75.38,1014.77,1.75,204.95,17.70768,NaN,0.071717481,0,70.33333333
19/06/201418:00,2.27,-1.73,6.09,74.82,1015.05,1.35,160.66,13.881024,NaN,0.071717481,0,74.66666667
19/06/201419:00,1.82,-1.62,5.95,78.04,1015.36,2,103.6,8.95104,NaN,0.071717481,0,71.83333333
19/06/201420:00,1.77,-1.23,5.74,80.52,1015.5,0.35,174.08,15.040512,0.6,0.071717481,0,70.66666667
19/06/201421:00,2.37,-1.35,5.57,76.4,1015.81,1.52,138.01,11.924064,0.6,0.071717481,0,78.16666667
19/06/201422:00,1.64,-1.52,5.41,79.44,1015.89,1.33,95.38,8.240832,NaN,0.071717481,0,74.5
19/06/201423:00,1.22,-1.66,5.12,81.06,1016.13,2.15,50.09,4.327776,NaN,0.071717481,0,58
20/06/201400:00,1.3,-1.89,4.69,79.29,1016.32,5.97,124.56,10.761984,NaN,0.121341553,0,58.66666667
20/06/201401:00,1.35,-2.33,4.35,76.42,1016.59,2.55,69.18,5.977152,NaN,0.121341553,0,36.33333333
20/06/201402:00,1.62,-2.63,4.1,73.38,1016.56,4.88,87.63,7.571232,NaN,0.121341553,0,53.16666667
20/06/201403:00,1.74,-3.4,3.94,68.75,1016.69,5.38,123.59,10.678176,NaN,0.121341553,0,61
20/06/201404:00,1.47,-2.64,3.83,73.95,1016.97,3.9,109.23,9.437472,NaN,0.121341553,0,48.83333333
20/06/201405:00,1.48,-2.25,3.77,76.25,1017.05,4.75,198.64,17.162496,0.3,0.121341553,0,42.16666667
20/06/201406:00,1.74,-3.03,3.82,70.57,1017.25,3.6,235.29,20.329056,0.2,0.121341553,0,37.5
20/06/201407:00,1.77,-3.58,3.93,67.56,1017.44,3.48,221.54,19.141056,NaN,0.121341553,0,43.33333333
20/06/201408:00,2.11,-3.61,4.01,65.87,1017.63,2.85,355.82,30.742848,0.6,0.121341553,0,42.33333333
20/06/201409:00,2.49,-3.47,4.27,64.73,1017.88,3.03,476.45,41.16528,0.8,0.121341553,0,42
20/06/201410:00,2.64,-3.38,4.72,64.76,1018,3.13,465.86,40.250304,0.5,0.121341553,0,49.5
20/06/201411:00,3.08,-2.94,5.21,64.61,1018.1,3.5,409.23,35.357472,1,0.121341553,0,38
20/06/201412:00,3.2,-2.75,5.78,64.91,1018.18,4.03,607.1,52.45344,1,0.121341553,0,47.66666667
20/06/201413:00,3.53,-2.88,6.27,62.84,1018.13,4.97,587.65,50.77296,1,0.121341553,0,60.5
20/06/201414:00,3.54,-2.92,6.61,62.7,1018.16,5.33,478.26,41.321664,1,0.121341553,0,79.66666667
20/06/201415:00,3.47,-2.92,6.75,62.93,1018.12,4.9,321.36,27.765504,0.8,0.121341553,0,96.33333333
20/06/201416:00,3.53,-2.57,6.7,64.47,1018.27,5.13,408.7,35.31168,1,0.121341553,0,95
20/06/201417:00,3.22,-1.73,6.69,69.89,1018.19,5.75,379.25,32.7672,1,0.121341553,0,102
20/06/201418:00,3.18,-1.68,6.65,70.36,1018.05,4.68,331.21,28.616544,1,0.121341553,0,106.1666667
20/06/201419:00,2.97,-1.82,6.54,70.68,1018,3.8,203.16,17.553024,1,0.121341553,0,103.3333333
20/06/201420:00,2.56,-1.84,6.32,72.75,1018.06,3.2,160.21,13.842144,0.5,0.121341553,0,96.16666667
20/06/201421:00,2.49,-1.43,6.04,75.29,1017.95,3.23,100.46,8.679744,NaN,0.121341553,0,103.6666667
20/06/201422:00,1.92,-2.15,5.73,74.31,1017.76,1.65,81.39,7.032096,NaN,0.121341553,0,92
20/06/201423:00,1.52,-2.3,5.33,75.69,1017.59,1.2,44.4,3.83616,NaN,0.121341553,0,90.66666667
21/06/201400:00,1.56,-2.16,4.9,76.21,1017.46,2.5,117.95,10.19088,0.2,0.11055235,0,89.16666667
21/06/201401:00,0.99,-2.32,4.56,78.55,1017.14,1.73,74.01,6.394464,0.3,0.11055235,0,87.5
21/06/201402:00,1.96,-2.28,4.26,73.47,1016.92,2.4,221.85,19.16784,1,0.11055235,0,85.5
21/06/201403:00,2.07,-2.28,4.2,72.89,1016.81,2.42,269.47,23.282208,1,0.11055235,0,74.66666667
21/06/201404:00,2.24,-2.02,4.3,73.41,1016.6,3.03,326.83,28.238112,1,0.11055235,0,69
21/06/201405:00,2.44,-1.69,4.47,74.16,1016.54,3.35,393.5,33.9984,1,0.11055235,0,75.5
21/06/201406:00,2.73,-1.22,4.71,75.1,1016.46,4.68,458.43,39.608352,1,0.11055235,0,66.83333333
21/06/201407:00,3.02,-0.88,4.98,75.5,1016.49,5.9,518.08,44.762112,1,0.11055235,0,44.66666667
21/06/201408:00,3.1,-0.8,5.25,75.54,1016.5,6.13,566.95,48.98448,1,0.11055235,0,72.83333333
21/06/201409:00,3.17,-0.84,5.53,75.02,1016.55,5.53,606.65,52.41456,1,0.11055235,0,70.16666667
21/06/201410:00,3.42,-0.59,5.87,74.91,1016.67,4.95,628.99,54.344736,1,0.11055235,0,69.66666667
21/06/201411:00,3.6,-0.58,6.24,73.87,1016.75,4.28,413.06,35.688384,1,0.11055235,0,88.16666667
21/06/201412:00,3.75,-0.6,6.65,73.22,1016.9,3.6,625.38,54.032832,1,0.11055235,0,99
21/06/201413:00,4.13,-0.53,7.07,71.65,1017.17,2.7,604.03,52.188192,1,0.11055235,0,109.3333333
21/06/201414:00,4.37,-0.44,7.53,70.8,1017.31,2.95,573.98,49.591872,1,0.11055235,0,136.8333333
21/06/201415:00,4.35,0.08,7.91,73.54,1017.48,2.9,538.59,46.534176,0.8,0.11055235,0,142.1666667
21/06/201416:00,4.41,-0.02,8.16,72.93,1017.52,2.65,444.24,38.382336,0.9,0.11055235,0,165
21/06/201417:00,4.63,-0.11,8.32,71.36,1017.7,1.48,272.39,23.534496,0.7,0.11055235,0,169
21/06/201418:00,4.32,-0.07,8.24,73.14,1017.85,1.5,203.7,17.59968,0.3,0.11055235,0,158.1666667
21/06/201419:00,4.38,0.27,8.06,74.6,1017.89,3.05,153,13.2192,0.2,0.11055235,0,135.8333333
21/06/201420:00,4.29,-0.01,7.8,73.53,1017.97,3.3,112.01,9.677664,NaN,0.11055235,0,145.8333333
21/06/201421:00,3.88,0,7.48,75.79,1018.09,2.25,98.62,8.520768,NaN,0.11055235,0,145
21/06/201422:00,3.82,0.04,7.15,76.33,1018.21,1.68,85.9,7.42176,NaN,0.11055235,0,147.8333333
21/06/201423:00,3.41,-0.45,6.82,75.8,1018.36,1.5,55.67,4.809888,NaN,0.11055235,0,135
22/06/201400:00,3.45,-0.5,6.41,75.27,1018.56,1.08,121.76,10.520064,0.2,0.106930934,0,106.5
22/06/201401:00,3.11,-0.35,6.07,78.1,1018.83,1.27,101.59,8.777376,0.2,0.106930934,0,87.5
22/06/201402:00,3.64,-0.56,5.86,74.02,1019.03,1.73,175.33,15.148512,0.6,0.106930934,0,85.16666667
22/06/201403:00,3.99,-0.26,5.85,73.75,1019.22,1.63,286.72,24.772608,1,0.106930934,0,99.33333333
22/06/201404:00,4,-0.34,6,73.33,1019.36,1.75,338.61,29.255904,1,0.106930934,0,98
22/06/201405:00,3.93,-0.33,6.22,73.83,1019.6,2.17,390.37,33.727968,1,0.106930934,0,97
22/06/201406:00,4.1,-0.11,6.45,74.08,1019.87,2.23,451.07,38.972448,1,0.106930934,0,93
22/06/201407:00,4.09,-0.08,6.72,74.24,1020.27,1.93,503.9,43.53696,1,0.106930934,0,92
22/06/201408:00,4.62,-0.15,7.07,71.11,1020.58,2.15,555.7,48.01248,1,0.106930934,0,90.33333333
22/06/201409:00,4.61,-0.13,7.49,71.32,1020.75,2.9,597.44,51.618816,1,0.106930934,0,91
22/06/201410:00,4.82,0.03,7.91,71.04,1021.23,4.65,621.94,53.735616,1,0.106930934,0,99.66666667
22/06/201411:00,5.09,0.3,8.23,71.14,1021.54,3.88,408.99,35.336736,1,0.106930934,0,96.5
22/06/201412:00,5.31,0.11,8.52,69.24,1021.79,3.08,619.1,53.49024,1,0.106930934,0,122.3333333
22/06/201413:00,5.66,0.57,9.05,69.89,1022.19,2.38,546.03,47.176992,1,0.106930934,0,154.3333333
22/06/201414:00,6.89,0.67,9.27,64.53,1022.31,1.88,549.5,47.4768,1,0.106930934,0,202.8333333
22/06/201415:00,6.99,1.15,9.63,66.26,1022.55,1.68,530.94,45.873216,1,0.106930934,0,237.6666667
22/06/201416:00,5.87,1.14,9.92,71.64,1022.68,1.9,497.5,42.984,1,0.106930934,0,236.5
22/06/201417:00,5.51,1.13,10.12,73.37,1022.81,2.63,446.57,38.583648,0.9,0.106930934,0,219
22/06/201418:00,5.18,0.71,10.2,72.9,1023,1.98,256.61,22.171104,0.8,0.106930934,0,201.6666667
22/06/201419:00,4.75,0.57,9.97,74.35,1023.12,2.13,131.13,11.329632,0.1,0.106930934,0,171.8333333
22/06/201420:00,4.74,0.57,9.5,74.28,1023.37,2.38,137.83,11.908512,0.7,0.106930934,0,170.1666667
22/06/201421:00,4.38,0.55,8.98,76.13,1023.49,2.48,61.4,5.30496,NaN,0.106930934,0,152.1666667
22/06/201422:00,4.44,0.63,8.41,76.24,1023.42,2.3,88.6,7.65504,NaN,0.106930934,0,145.8333333
22/06/201423:00,4.32,1.26,7.92,80.57,1023.48,3.83,74.68,6.452352,NaN,0.106930934,0,129.5
23/06/201400:00,3.86,1.47,7.57,84.36,1023.64,4.03,50.79,4.388256,NaN,0.100062723,0,111.1666667
23/06/201401:00,3.66,1.43,7.24,85.34,1023.77,2.65,45.9,3.96576,NaN,0.100062723,0,120.8333333
23/06/201402:00,3.73,1.44,6.94,84.98,1023.81,3.08,54.34,4.694976,NaN,0.100062723,0,110.8333333
23/06/201403:00,3.81,1.38,6.71,84.1,1023.65,2.88,85.05,7.34832,NaN,0.100062723,0,109
23/06/201404:00,3.98,1.34,6.56,82.93,1023.67,2.95,116.38,10.055232,NaN,0.100062723,0,103.3333333
23/06/201405:00,4.16,1.11,6.48,80.51,1023.64,2.35,157.36,13.595904,NaN,0.100062723,0,88.83333333
23/06/201406:00,4.24,0.91,6.49,78.97,1024.02,1.98,176.66,15.263424,NaN,0.100062723,0,78.16666667
23/06/201407:00,4.76,0.59,6.59,74.34,1024.13,1.55,210.2,18.16128,NaN,0.100062723,0,77.33333333
23/06/201408:00,4.96,0.36,6.75,72.14,1024.36,2.25,320.66,27.705024,NaN,0.100062723,0,71.66666667
23/06/201409:00,4.79,0.44,7.06,73.45,1024.5,2.3,360.53,31.149792,0.2,0.100062723,0,61
23/06/201410:00,4.9,0.16,7.42,71.24,1024.57,3.25,362.63,31.331232,0.1,0.100062723,0,70.66666667
23/06/201411:00,4.9,0.18,7.75,71.39,1024.65,4.05,366.66,31.679424,0.1,0.100062723,0,69.66666667
23/06/201412:00,4.92,0.26,7.99,71.85,1024.77,3.5,372.89,32.217696,0.1,0.100062723,0,114.8333333
23/06/201413:00,4.91,0.11,8.19,71.01,1024.82,3.5,342.81,29.618784,0,0.100062723,0,107.3333333
23/06/201414:00,5.19,0.38,8.36,71.1,1024.8,3.25,402.44,34.770816,0.5,0.100062723,0,116.5
23/06/201415:00,5.34,0.31,8.53,70.04,1024.79,3.3,452.01,39.053664,0.8,0.100062723,0,109.3333333
23/06/201416:00,5.53,0.4,8.77,69.33,1024.79,3.28,412.74,35.660736,0.8,0.100062723,0,141.3333333
23/06/201417:00,6.4,0.55,8.97,66.3,1024.7,1.77,377.08,32.579712,0.7,0.100062723,0,149.6666667
23/06/201418:00,5.8,-0.09,9.03,65.8,1024.79,2.7,331.95,28.68048,0.7,0.100062723,0,158.8333333
23/06/201419:00,5.97,-0.6,9.08,62.64,1024.81,1.85,196.85,17.00784,0.8,0.100062723,0,157.1666667
23/06/201420:00,6.02,0.03,9.01,65.54,1024.8,4.97,291.56,25.190784,1,0.100062723,0,151.6666667
23/06/201421:00,5.14,0.28,8.83,70.64,1024.83,4.28,196.6,16.98624,1,0.100062723,0,146.3333333
23/06/201422:00,4.61,-0.08,8.52,71.56,1024.8,2.35,119.35,10.31184,0.1,0.100062723,0,137
23/06/201423:00,4.05,-0.5,8.08,72.21,1024.78,2.15,44.01,3.802464,NaN,0.100062723,0,119.6666667
24/06/201400:00,4.25,-0.67,7.58,70.35,1024.77,1.63,117.98,10.193472,0.2,0.092519026,0,122.5
